17.07.11 23:28:59,9,5666,0,11000,73371,1228,306855
17.07.11 23:29:59,554,1407,0,29000,42200,1221,500724
17.07.11 23:30:59,566,1332,0,15000,41710,1223,502767
17.07.11 23:31:59,513,1345,0,12000,49261,1224,441910
17.07.11 23:32:59,592,1413,0,62000,48630,1220,746680
17.07.11 23:33:59,647,1301,0,29000,38119,1223,492164
17.07.11 23:34:59,604,1397,0,59000,35796,1223,421160
17.07.11 23:35:59,650,1436,0,25000,42234,1220,736633
17.07.11 23:36:59,657,1336,0,11000,44917,1220,498749
17.07.11 23:37:59,680,1388,0,10000,44426,1219,513547
17.07.11 23:38:59,765,1321,0,29000,38382,1223,759954
17.07.11 23:39:59,620,1366,0,30000,48744,1223,512393
17.07.11 23:40:59,614,1268,0,11000,46308,1222,576562
17.07.11 23:41:59,614,1345,0,9000,44430,1221,489332
17.07.11 23:42:59,588,1273,0,12000,38666,1222,397536
17.07.11 23:43:59,625,1358,0,17000,45849,1224,448408
17.07.11 23:44:59,599,1494,0,18000,48651,1224,551438
17.07.11 23:45:46,456,1574,0,17000,44881,1220,410581
